listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2972874.213227 type=3 code=53 value=351
/dev/input/event3 2972874.213227 type=3 code=54 value=1147
/dev/input/event3 2972874.213227 type=0 code=0 value=0
/dev/input/event3 2972874.218445 type=3 code=53 value=353
/dev/input/event3 2972874.218445 type=3 code=54 value=1152
/dev/input/event3 2972874.218445 type=0 code=0 value=0
/dev/input/event3 2972874.223722 type=3 code=53 value=355
/dev/input/event3 2972874.223722 type=3 code=54 value=1157
/dev/input/event3 2972874.223722 type=0 code=0 value=0
/dev/input/event3 2972874.229378 type=3 code=53 value=357
/dev/input/event3 2972874.229378 type=3 code=54 value=1163
/dev/input/event3 2972874.229378 type=0 code=0 value=0
/dev/input/event3 2972874.234567 type=3 code=53 value=358
/dev/input/event3 2972874.234567 type=3 code=54 value=1168
/dev/input/event3 2972874.234567 type=0 code=0 value=0
